id,market,email,first_name,last_name,city,created_at,acquisition_channel
cust-at-000001,at,eduard.steinberger.cust-at-000001@example.test,Eduard,Steinberger,Saalfelden am Steinernen Meer,2024-01-10T20:02:03.279304Z,meta
cust-at-000002,at,aylin.kloiber.cust-at-000002@example.test,Aylin,Kloiber,Schwechat,2024-01-22T11:35:21.855087Z,email
cust-at-000003,at,berra.bhler.cust-at-000003@example.test,Berra,Böhler,Spittal an der Drau,2024-02-28T12:18:13.688382Z,google
cust-at-000004,at,iris.kraft.cust-at-000004@example.test,Iris,Kraft,Bregenz,2024-03-31T19:07:26.904851Z,meta
cust-at-000005,at,antonius.rudolf.cust-at-000005@example.test,Antonius,Rudolf,Maissau,2024-04-06T10:11:15.724716Z,meta
cust-at-000006,at,stephan.neumayer.cust-at-000006@example.test,Stephan,Neumayer,Rottenmann,2024-04-14T11:56:26.329687Z,email
cust-at-000007,at,zoey.maringer.cust-at-000007@example.test,Zoey,Maringer,Bleiburg,2024-04-14T18:48:07.950978Z,meta
cust-at-000008,at,clarissa.wild.cust-at-000008@example.test,Clarissa,Wild,Gloggnitz,2024-04-20T15:27:50.645977Z,google
cust-at-000009,at,laura.forstner.cust-at-000009@example.test,Laura,Forstner,Liezen,2024-04-23T12:22:09.172318Z,meta
cust-at-000010,at,frederik.handler.cust-at-000010@example.test,Frederik,Handler,Bad Radkersburg,2024-04-29T21:06:42.564135Z,direct
cust-at-000011,at,yvonne.achleitner.cust-at-000011@example.test,Yvonne,Achleitner,Allentsteig,2024-05-02T11:43:15.120160Z,email
cust-at-000012,at,antonio.pschl.cust-at-000012@example.test,Antonio,Pöschl,Zell am See,2024-05-04T17:07:46.447579Z,direct
cust-at-000013,at,klara.artner.cust-at-000013@example.test,Klara,Artner,Gerasdorf bei Wien,2024-05-11T19:25:07.196626Z,organic
cust-at-000014,at,konstantin.buchberger.cust-at-000014@example.test,Konstantin,Buchberger,Rohrbach in Oberösterreich,2024-05-16T09:25:34.990408Z,meta
cust-at-000015,at,valentino.steinbauer.cust-at-000015@example.test,Valentino,Steinbauer,Gleisdorf,2024-05-16T11:23:12.821326Z,organic
cust-at-000016,at,georg.kober.cust-at-000016@example.test,Georg,Kober,Sankt Valentin,2024-05-18T19:09:18.535823Z,meta
cust-at-000017,at,anna.gruber.cust-at-000017@example.test,Anna,Gruber,Zeltweg,2024-05-19T12:36:52.171256Z,google
cust-at-000018,at,alma.varga.cust-at-000018@example.test,Alma,Varga,Gloggnitz,2024-05-29T18:08:34.263193Z,meta
cust-at-000019,at,luca.stangl.cust-at-000019@example.test,Luca,Stangl,Attnang-Puchheim,2024-05-30T10:19:58.049276Z,email
cust-at-000020,at,marijana.schnberger.cust-at-000020@example.test,Marijana,Schönberger,Schrattenthal,2024-06-06T16:05:38.941259Z,meta
cust-at-000021,at,irma.stelzer.cust-at-000021@example.test,Irma,Stelzer,Stadtschlaining,2024-06-09T04:21:07.064919Z,meta
cust-at-000022,at,liam.rottensteiner.cust-at-000022@example.test,Liam,Rottensteiner,Marchegg,2024-06-09T15:49:56.714136Z,organic
cust-at-000023,at,lea.holzknecht.cust-at-000023@example.test,Lea,Holzknecht,Zistersdorf,2024-06-11T11:28:24.937525Z,email
cust-at-000024,at,armin.reif.cust-at-000024@example.test,Armin,Reif,Neunkirchen,2024-06-11T11:52:05.957409Z,direct
cust-at-000025,at,berra.buchinger.cust-at-000025@example.test,Berra,Buchinger,Eferding,2024-06-13T15:31:20.967708Z,meta
cust-at-000026,at,alena.heim.cust-at-000026@example.test,Alena,Heim,Jennersdorf,2024-06-27T17:34:17.918835Z,email
cust-at-000027,at,emanuel.kral.cust-at-000027@example.test,Emanuel,Kral,Feldkirch,2024-06-28T14:47:11.896122Z,google
cust-at-000028,at,pauline.leopold.cust-at-000028@example.test,Pauline,Leopold,Traun,2024-07-01T07:31:13.012974Z,google
cust-at-000029,at,carla.fasching.cust-at-000029@example.test,Carla,Fasching,Peuerbach,2024-07-18T09:11:03.446025Z,google
cust-at-000030,at,martha.maier.cust-at-000030@example.test,Martha,Maier,Laa an der Thaya,2024-07-25T15:50:11.678422Z,google
cust-at-000031,at,emil.sieber.cust-at-000031@example.test,Emil,Sieber,Attnang-Puchheim,2024-08-02T07:36:58.913061Z,organic
cust-at-000032,at,patricia.bhler.cust-at-000032@example.test,Patricia,Böhler,Gallneukirchen,2024-08-10T19:21:35.288666Z,meta
cust-at-000033,at,claudia.eichberger.cust-at-000033@example.test,Claudia,Eichberger,Amstetten,2024-08-16T18:08:54.394516Z,organic
cust-at-000034,at,lydia.dirnberger.cust-at-000034@example.test,Lydia,Dirnberger,Trofaiach,2024-08-30T13:43:20.336810Z,meta
cust-at-000035,at,jacob.edlinger.cust-at-000035@example.test,Jacob,Edlinger,Radenthein,2024-09-02T16:51:26.109127Z,email
cust-at-000036,at,karina.mayer.cust-at-000036@example.test,Karina,Mayer,Bad Hall,2024-09-06T16:13:55.639094Z,email
cust-at-000037,at,leonard.spindler.cust-at-000037@example.test,Leonard,Spindler,Judenburg,2024-09-09T11:01:43.832052Z,meta
cust-at-000038,at,maryam.widhalm.cust-at-000038@example.test,Maryam,Widhalm,Litschau,2024-09-15T17:49:44.424550Z,google
cust-at-000039,at,ronja.eder.cust-at-000039@example.test,Ronja,Eder,Ebenfurth,2024-09-19T13:15:06.178011Z,meta
cust-at-000040,at,philippa.farkas.cust-at-000040@example.test,Philippa,Farkas,Neunkirchen,2024-09-21T12:01:26.681539Z,meta
cust-at-000041,at,christina.dangl.cust-at-000041@example.test,Christina,Dangl,Oberpullendorf,2024-10-09T10:09:20.350617Z,google
cust-at-000042,at,lennard.seifert.cust-at-000042@example.test,Lennard,Seifert,Mattighofen,2024-10-16T11:29:37.726685Z,google
cust-at-000043,at,friedrich.hufnagl.cust-at-000043@example.test,Friedrich,Hufnagl,Maissau,2024-11-06T18:13:35.819815Z,email
cust-at-000044,at,leopold.amon.cust-at-000044@example.test,Leopold,Amon,Grein,2024-11-25T18:30:26.363832Z,meta
